name,followers,popularity,spotify_url
Hùynh Khải,4,0,https://open.spotify.com/artist/4axezblH3jBGW5JRAEfyNl
Hà Bi,5,9,https://open.spotify.com/artist/4XBIDOnrikyzfDsVHf1cQx
DopeB,14,21,https://open.spotify.com/artist/0BKAOUB86uzQsUxWqWDmX0
Tú Quyên,5996,31,https://open.spotify.com/artist/2gScaMRuLR5xEN8x3h0Pq3
Le-Thi Huong-Lan,11,5,https://open.spotify.com/artist/5ehFQerrFgiZuRdosnjbhs
Kuzz,1179,0,https://open.spotify.com/artist/7pgwzwSEdF8lurawrZ31gg
Saabirose,6839,36,https://open.spotify.com/artist/3IMLi0C3EgNuwDiksTxiS5
Thoại Miêu,1,0,https://open.spotify.com/artist/1Cgk3OTrpOilSb0jxC5Dne
Nidebig,19270,24,https://open.spotify.com/artist/03pLiUJ6dIIZtIf4vYyhdP
Wren Evans,609892,57,https://open.spotify.com/artist/5M3ffmRiOX9Q8Y4jNeR5wu
Quang Dũng,189547,35,https://open.spotify.com/artist/1gcRVXmxLnwzd7EJn5dLGD
Thu Thuỷ,680,14,https://open.spotify.com/artist/58qkW7v83Ec74KU5V6tE7l
Nhật Hoàng,16533,43,https://open.spotify.com/artist/1owVn9TB2AwdiPqkaD29wX
Vũ Thịnh,32300,45,https://open.spotify.com/artist/5CmaKrKVwzQ6iQnJx2cGAm
Chủ Tịch Kim,20236,17,https://open.spotify.com/artist/0zn7lYLmKeTdAva9gucVJG
Yuri,1704,26,https://open.spotify.com/artist/0JXBRH2BmhaJ1RsRpizhm5
Trương Hoàng Long,2,0,https://open.spotify.com/artist/3dchfHYnHrPzlel0SC32qT
Vương Khang,7,0,https://open.spotify.com/artist/7fBUDBuFhMgI0HliYOzeV6
NÂN,40967,39,https://open.spotify.com/artist/7mFCX07lzCFLpHm72R93oB
Diệp Lang,178,3,https://open.spotify.com/artist/49DIteUZDN6cG2KroKb6HX
Huong Thanh,1845,12,https://open.spotify.com/artist/0nTxVWwqJUKFJT7r0G69be
Ý Lan,35689,26,https://open.spotify.com/artist/3NOy4VouufNkUdcPh7ouDv
NSUT Ngọc Đáng,0,0,https://open.spotify.com/artist/7IeNJ6VyLEGchUl4TwFiZc
Hùng Minh,3,0,https://open.spotify.com/artist/388VjJXz5iXonz871I5KCd
Lazii,1308,35,https://open.spotify.com/artist/2mrZ4gGfWba9oB1mfm9j90
AK49,1572,27,https://open.spotify.com/artist/0PsYNWoA9eUOHO4VUOSp8F
Hoàng Yến Chibi,206565,42,https://open.spotify.com/artist/1Dd0DajYMxzu1Q6kuXLyJ3
Masew,500,15,https://open.spotify.com/artist/2ahYSvxXNTvIzWBB7fg6k5
Thành Đạt,16678,38,https://open.spotify.com/artist/2ipMqlG0XTQbUbu7W0FnBm
HKT,31949,25,https://open.spotify.com/artist/2LV7OpzgkWJ6aK6TTmD1oV
Yen Nhien,20,2,https://open.spotify.com/artist/1JQlMmgys9tS5Cq7M21vmm
Mai Lan,769,4,https://open.spotify.com/artist/2mDibyYe7k76MBMSZDTGo1
Phát Huy T4,43679,39,https://open.spotify.com/artist/38QmAddjWUR2zKkdp3Oe87
Jack,61956,45,https://open.spotify.com/artist/5j4Qb00HAANZ6woW2a5py1
Hoài Lâm,421468,38,https://open.spotify.com/artist/2dlC6p7Q75wnfhudwTEpxW
Người cũ,46,13,https://open.spotify.com/artist/17tMDCxssUUhEVWExf8y8N
Mew Amazing,1906,31,https://open.spotify.com/artist/34nom4Ft3keMWBZPAUB3EI
JBEE7,1309,28,https://open.spotify.com/artist/4b0il49i8iJcspFGvde130
Tạ Minh Tâm,706,13,https://open.spotify.com/artist/3MWM1qsINYLG3736FV94QC
Thanh Vinh,148,6,https://open.spotify.com/artist/3x7hPNIpg8UUZX2ohI7af6
Thanh Tòng,9,1,https://open.spotify.com/artist/3Bg1RPDnNAT2nKFOo95Qy3
Charmy Pham,446094,39,https://open.spotify.com/artist/6jFvKq4gMkQ50joURHPGXO
Thanh Thanh Tâm,20,0,https://open.spotify.com/artist/6Lx3zQrk1XhpwaNnDWNvb2
Trịnh Đình Quang,195275,35,https://open.spotify.com/artist/73jYB754ez8rGnHM79YeuE
Hank,4679,38,https://open.spotify.com/artist/3qUc9jd1knrpqhoO6wJCCR
Gonzo,6308,37,https://open.spotify.com/artist/3Ib80uqrBka6P4ncx6vJRF
Thanh Thanh Hoa,0,0,https://open.spotify.com/artist/1CQfaDnhCc6CysRtfFXPDA
Hoàng Liêm,49,0,https://open.spotify.com/artist/7GUEpi2HapTUryiz5zDpEx
Hà Như,2,0,https://open.spotify.com/artist/5kgR9K5LjETxRLXGtn8v6U
Trieu Vy,232,10,https://open.spotify.com/artist/2GU5UbzFZNlHuy0Eln74db
Y Phụng,2283,18,https://open.spotify.com/artist/3YTxbRy3EFa9Oahcd5BQnl
Thỏ Trauma,1686,29,https://open.spotify.com/artist/2KgvVPpQC2PQR0Vtb1zgT9
Hoàng Dũng,683154,55,https://open.spotify.com/artist/6OzE2OdvV2tGAxSBsBuZ74
Cheng,1401,34,https://open.spotify.com/artist/0MNKLsBMKa5KGShgrWgE3B
Forest Studio,37528,48,https://open.spotify.com/artist/1fTWz0OemWveF9AMkRPJKi
รวมนักแสดงซีรีส์ด้ายแดง,41838,20,https://open.spotify.com/artist/3Y69bU4TIh7SZMSEKiRGAI
nick schmidt,100,31,https://open.spotify.com/artist/4qgKf6usFvRsJ30b6Yn9yQ
Dương Edward,61216,40,https://open.spotify.com/artist/44R2JURYkScvyCkzRppala
thủy,392879,62,https://open.spotify.com/artist/3R80OE4RViOWbnuvqh0j8a
hooligan.,36231,37,https://open.spotify.com/artist/4sDsgLXhS6If9HrV2mwuSx
Koo,19562,40,https://open.spotify.com/artist/19JOXyTbKnSp1QxnKEeXtq
Quang Linh,58455,24,https://open.spotify.com/artist/3JwyehW3Ls8vt8GSons5eA
Kim ANh,869,8,https://open.spotify.com/artist/1XioROXLsuGKDDElvSX60P
creamy,48885,59,https://open.spotify.com/artist/2uSVRVjYZ0PlJPdFHnBETu
Thoại Mỹ,28,0,https://open.spotify.com/artist/6YPDhIE4fPDbT0Mv87fTfg
Hương Lan,54239,32,https://open.spotify.com/artist/7KOMoBXp30tI5E6SA0NQVn
Chí Tâm,864,9,https://open.spotify.com/artist/57o88gYRJnvgsHOOCgdqVH
