name,release_date,album_type,album_name,artists,duration_ms,popularity,spotify_url
Giã Từ Dĩ Vãng,2018-03-01,single,Giã Từ Dĩ Vãng,Phương Thanh,287712,0,https://open.spotify.com/track/5mLqUvEjm7vyqBIJ5r60is
Mưa Buồn,0000,single,Trương Chi Mỵ Nương (Những Tình Khúc Hoài An),"Đan Trường, Cẩm Ly",310961,0,https://open.spotify.com/track/6Y75Am74H22BUMivK3DChv
Cây Đàn Sinh Viên,2018-08-12,compilation,Nhạc Trẻ Sài Gòn Tổ khúc,Mỹ Tâm,283533,0,https://open.spotify.com/track/3kfbmSt64pX6ntqOEBrJ5y
Thoi Anh Hay Ve,2013-02-22,compilation,Tinh Yeu Mai Mai,Thu Ha,360910,1,https://open.spotify.com/track/0P2DZ4U15jXtCQekrx5PR4
Hãy Về Đây Bên Anh,2018-03-01,album,Tình Em Là Đại Dương,Duy Mạnh,309681,0,https://open.spotify.com/track/1NAA4ZFV9kY53B3dFUXHUB
Còn Tuổi Nào Cho Em,2011-04-18,album,Những Tình Khúc Trịnh Công Sơn,Quang Dũng,280528,0,https://open.spotify.com/track/4RMkI6fWta29pgQsxB1E2V
Tình thôi xót xa,1997-12-17,album,Tình thôi xót xa,Lam Truong,354280,0,https://open.spotify.com/track/73IJpwxH3KxjkP9D6eqkXO
Hoang Mang,2018-03-01,album,Không Dừng Lại (Non Stop),Hồ Quỳnh Hương,255477,0,https://open.spotify.com/track/6DqpeKnDMBrLUZXK49hPzS
Hoa Tim Ngoai San,2000,album,Ngo Vang Xon Xao,Bằng Kiều,360910,0,https://open.spotify.com/track/2GGetzkYwBR1JUZ5zEQLu2
,0000,compilation,,,0,0,https://open.spotify.com/track/2OrWAE8lMia6k9PH1uKs7R
,0000,compilation,,,0,0,https://open.spotify.com/track/1WrUlLfIFuiaixmznaF9Hm
Giac Mo Chi La Giac Mo,2006-01-01,album,Muon Noi Voi Anh,Hồ Ngọc Hà,273640,20,https://open.spotify.com/track/2UsTwA22zxwLVlo3GTgTeA
Trai Tim Ben Le,2007,album,Chuyen La,Bằng Kiều,317387,0,https://open.spotify.com/track/7j8LRe3A8uJvHG6LudYcSx
Tìm Lại Bầu Trời,2015-10-01,album,Tìm Lại Bầu Trời,Tuấn Hưng,328803,0,https://open.spotify.com/track/7s7tnNQDgYutWEPaeanT58
Chỉ Anh Hiểu Em,2018-03-01,single,"Lại Một Lần Nữa, Chỉ Anh Hiểu Em",Khắc Việt,272117,0,https://open.spotify.com/track/1F3HLa7GPQDVe4lcvs9OYA
Sau Tat Ca,2018-05-25,single,Sau Tat Ca,ERIK,234684,0,https://open.spotify.com/track/0YBTOtHOAYlb8cgdKXv7pe
Anh Sai Rồi,2012-09-21,album,Điều Ngọt Ngào Nhất,Cao Thái Sơn,299781,0,https://open.spotify.com/track/4lownRPM9rXqZmIrauvsPR
Kiếp Đỏ Đen,2018-03-01,album,Tình Em Là Đại Dương,Duy Mạnh,321828,0,https://open.spotify.com/track/7HVy1qlehnFMwfobNzko6c
Em Về Tinh Khôi,2018-01-01,single,Dạ Khúc Dương Cầm,Lê Hiếu,320093,0,https://open.spotify.com/track/1cEIWiGFTegmM5BhqJjORR
Mắt Nai Cha Cha Cha,2018-08-09,single,Mắt Nai Cha Cha Cha,Hồng Ngọc,277968,0,https://open.spotify.com/track/5azrSZPsWWT3lwHc1o9OMQ
Tha Rang Nhu The,2002-01-01,single,Tha Rang Nhu The... Toi Di Tim Toi,Ưng Hoàng Phúc,201627,0,https://open.spotify.com/track/5r5auR7DxEujqbNfyeLxxg
Hoa Mi Toc Nau,2011-12-14,album,Yesterday & Now,Mỹ Tâm,266986,0,https://open.spotify.com/track/0YPwc9Xvq83kiQd0vW2Cet
Mãi Mãi Một Tình Yêu,0000,album,Đến Một Lúc Nào Đó,Đan Trường,360933,0,https://open.spotify.com/track/5ZJBi2csAsb3zsXjtYASLO
Vầng Trăng Khóc,2018-05-04,album,Trái Tim Của Gió,"Nhat Tinh Anh, Thùy Chi",304326,0,https://open.spotify.com/track/1gBzRGnn5XRLgdatHEbtaQ
Người Ấy Và Tôi Em Chọn Ai,2015-07-10,album,Full Bass,Luu Chi Vy,272065,0,https://open.spotify.com/track/1XgmwdND0vc9fP8Kejdzvp
Cô Gái Trung Hoa,2013-05-16,compilation,The Best Of Thùy Chi 4,Thùy Chi,233247,0,https://open.spotify.com/track/3A5i8SIUMwcxmY69wskv3g
Teen Vọng Cổ,2015-10-01,album,180 Độ Change,Vĩnh Thuyên Kim,221440,0,https://open.spotify.com/track/0MMw6hQK1hzql4gz376S50
Giấc Mơ Tuyết Trắng (Version 1),2018-03-01,single,Giấc Mơ Tuyết Trắng,Thủy Tiên,228373,0,https://open.spotify.com/track/3ZmomlB9pSxdh2CMyOPntO
Con Lật Đật,2018-03-01,album,Cỏ Cây Cũng Biết Buồn,Hoàng Châu,232829,0,https://open.spotify.com/track/2oq465GXpR8yuZhf2Nbita
Bi Mat Cua Hanh Phuc,2007-09-11,album,Tung Teen 2,Phan Đinh Tùng,218611,0,https://open.spotify.com/track/51Dr0RaEDliURt0pER6v5z
Chiec Khan Gio Am,2007-09-11,album,Tung Teen 2,Phan Đinh Tùng,218083,0,https://open.spotify.com/track/4YliNzynWFq4LEvT8MHDuu
Hat Bui Le Loi,2007-09-11,album,Tung Teen 2,Phan Đinh Tùng,252961,0,https://open.spotify.com/track/1NkmUvscJPtrLmnk0qjzp5
Ngoi Ben Em - Remix,2007-01-10,album,Tung Chung,Phan Đinh Tùng,226730,0,https://open.spotify.com/track/710Gj9CxuIxUfkldZyWJ7Q
Lời Nguyền,2018-03-01,album,Đứng Dậy Vươn Vai,Akira Phan,325694,0,https://open.spotify.com/track/6rJZwgYR2iaH2tEYyJMt5q
Bụi Bay Vào Mắt,2018-03-01,compilation,Cầu Vồng Tình Yêu,Phạm Quỳnh Anh,260015,0,https://open.spotify.com/track/1b9pPFydodMPwscQOinfbD
Bay Giữa Ngân Hà,2015-08-01,album,Bay Giữa Ngân Hà,Nam Cường,235493,0,https://open.spotify.com/track/0Bgu1i8dqdxjzH5FpJ2Y0t
Tôi Là Tôi,2015-10-01,album,Tôi Là Tôi,Quách Thành Danh,250148,0,https://open.spotify.com/track/5bTkghKcLZsOaO73reCUu6
Thêm Một Lần Đau,2015-06-16,album,Mặt Trái Của Sự thật,HKT,280633,0,https://open.spotify.com/track/5rlcuerGbqaswm3DJr4Ilz
Nàng Kiều Lỡ Bước,2015-06-16,album,Mặt Trái Của Sự thật,HKT,268878,0,https://open.spotify.com/track/5MMpypn3mQL0gCmGrrsTtm
Trú Mưa,2015-06-16,album,Mặt Trái Của Sự thật,HKT,302158,0,https://open.spotify.com/track/0KF6p7lItIry7x95LSoMeN
Bỗng dưng muốn khóc,2008-08-06,album,Ngày hôm nay (Today),Lam Truong,216693,0,https://open.spotify.com/track/0t3wd8DMQae8YPIAEpAhIl
Yêu Lại Từ Đầu,2011-02-23,album,Yêu Lại Từ Đầu,Khắc Việt,207072,0,https://open.spotify.com/track/6ZB76HLpRe1UcbxEBw4w5M
Ông Xã Em Number One,2017-11-20,album,Ông Xã Em Number One,Don Nguyen,240000,0,https://open.spotify.com/track/6mMHy2l760O1D9GzkXfFVw
Ngã Tư Đường,2018-01-01,album,Những Bài Hát Hay Nhất Của Hồ Quang Hiếu,Hồ Quang Hiếu,275957,0,https://open.spotify.com/track/4CLh1dlvvx15nJJzyw2K2U
Nước Mắt Hoá Đá,2018-08-14,compilation,Trái Tim Biết Hát 2,Lương Bích Hữu,263862,0,https://open.spotify.com/track/1JABPQ0C8zhrAyJrkBcoxW
Một Vòng Trái Đất,2018-04-21,album,Một Vòng Trái Đất,"Tim, Minh Hang",214883,12,https://open.spotify.com/track/3mCEQBlXp1omQhRuuKPRum
Tinh Yeu Tuyet Voi,2009-04-13,album,Hat Nhan,Phan Đinh Tùng,278804,0,https://open.spotify.com/track/5Ph3jHZxQulrXXuyBy6uvx
Binh Minh Se Mang Em Ve,2009-04-13,album,Hat Nhan,Phan Đinh Tùng,266187,0,https://open.spotify.com/track/4F647r8Ra6v5N8h32lvE3t
Hay Cho Anh,2009-04-13,album,Hat Nhan,Phan Đinh Tùng,211774,0,https://open.spotify.com/track/3KWzheaBvEQTfozi7uapcD
Because I Love You,2009-04-13,album,Hat Nhan,Phan Đinh Tùng,262791,0,https://open.spotify.com/track/5u1NGjEJPq8DscQFgKudNK
Impossible,2015-06-16,album,Nhận Ra,Miu Lê,224574,0,https://open.spotify.com/track/7BpMSdsug7MQMf8JVSwdcs
Thu Cuối,2013-10-01,album,Forever T,Mr T,291657,0,https://open.spotify.com/track/0Dy6DBLa5BHJJJBsYF43ga
Ngồi Bên Em,2018-03-01,album,Ngôi Nhà Hạnh Phúc,Nguyên Vũ,240091,0,https://open.spotify.com/track/0f2g5mboBPcab8idZaupds
Mong Thời Gian Trở Lại,2018-06-08,album,Đúng Rồi…Chớ Hỏi Vì Sao,Nguyên Vũ,282671,0,https://open.spotify.com/track/2XjuguJ3YXWyxykia1i5du
Toi Khong Tin,2002-01-01,single,Tha Rang Nhu The... Toi Di Tim Toi,Ưng Hoàng Phúc,279942,0,https://open.spotify.com/track/1QWHhErSX4G3Dw9SYqcarA
Nỗi Đau Xót Xa,0000,album,Những Bài Hát Hay Nhất Của Minh Vương M4U (original),Minh Vương M4U,264192,0,https://open.spotify.com/track/04Dp3rwaU9B34T93qbOHi6
Trở Lại Phố Cũ,2000,album,Trở Lại Phố Cũ,Cẩm Ly,329508,0,https://open.spotify.com/track/61FXsa4J02VeMmGJb1bw5N
Người Yêu Cũ,2017-01-23,single,Những Ca Khúc Hay Nhất Của Khởi My Phần 1,Khởi My,249835,0,https://open.spotify.com/track/6FeeQT5agGN6bB6ZqBPqxR
Con Đường Mưa,2013-07-04,album,"Con Đường Mưa, Vol. 7",Cao Thái Sơn,306346,35,https://open.spotify.com/track/2LEDtBvipXO7mxlNqJJPkm
Nếu Là Anh,2017-07-19,album,Tuyển Tập Nhạc Hay Nhất The Men,The Men,256967,0,https://open.spotify.com/track/3QyyA0DIhUj73eDxMd9MOh
Dĩ Vãng Cuộc Tình,2015-01-10,album,Tuấn Hưng Dance,Tuấn Hưng,267572,0,https://open.spotify.com/track/4gr73bjlxloo0G6d5aVqD7
,0000,single,,,0,0,https://open.spotify.com/track/0vvxr4eHbexcsfoCox3prM
Điều Ước Giản Đơn,2015-01-10,album,Điều Ước Giản Đơn,Akira Phan,293407,0,https://open.spotify.com/track/4uEWyY4kHBcZACf1wmDqKt
Quên Cách Yêu,2012-10-01,album,Cô Nàng Đẹp Trai,Lương Bích Hữu,257146,0,https://open.spotify.com/track/6yw0pnjzprpB3MH0EZ76ym
Đau Một Lần Rồi Thôi,2015-10-01,album,Đau Một Lần Rồi Thôi,Uyên Trang,279484,0,https://open.spotify.com/track/4rHHLAsfmXxShLhi0l0kaB
Trang Giấy Trắng,2018-03-01,album,Những Bài Hát Hay Nhất Của Cao Thái Sơn,Cao Thái Sơn,294333,0,https://open.spotify.com/track/3WAM5XVfDWbKVlT0V49o5M
Không Cảm Xúc,2018-01-01,album,Những Bài Hát Hay Nhất Của Hồ Quang Hiếu,Hồ Quang Hiếu,229668,0,https://open.spotify.com/track/4RsU4IvMnxcHIphSDIOh1C
Nỗi Lòng Người Tha Hương,2016-05-23,album,Trái Tim Khóc,Duy Mạnh,271804,0,https://open.spotify.com/track/5GfmKhHecwUF2xkb5tv2zU
Giả Vờ Yêu,2015-08-01,album,Chạm Tay Vào Điều Ước,Ngô Kiến Huy,276323,0,https://open.spotify.com/track/6PKxzrZiINhdaftuzp8vwd
Dong Thoi Gian,2007-02-21,album,Tung Phong RnB,Phan Đinh Tùng,297159,0,https://open.spotify.com/track/0FrYKITvpkNgdiZVrBMP28
Người Vô Hình,2018-09-25,album,Tuyển Tập Của Ngô Kiến Huy,Ngô Kiến Huy,121730,0,https://open.spotify.com/track/5zGX8gmDxZHLPopCvjtcmv
Như Vậy Nhé,2018-03-01,album,Những Bản Hits Do Khắc Việt Trình Bày,Khắc Việt,249160,0,https://open.spotify.com/track/5br1H5qIBB4391IFyxR6Le
Chuyện tình mộng thường,2009-01-01,compilation,Chuyện Tình Mộng Thường,"Băng Tâm, Dan Nguyen",327680,21,https://open.spotify.com/track/3T5uqOTIP9EcX7kkPK0tXq
Anh Khác Hay Em Khác,2018-03-01,album,Những Bản Hits Do Khắc Việt Trình Bày,Khắc Việt,259000,0,https://open.spotify.com/track/3ULmWpWfAOrGbssyFsMt5k
Lâu Đài Cát,2018-08-07,album,Lâu Đài Cát,Nhật Kim Anh,323631,3,https://open.spotify.com/track/16Wb2XPwZG8LBMyWnpmEhY
Mùa Đông Không Lạnh,2017-07-19,album,Tuyển Tập Nhạc Hay Nhất Akira Phan,Akira Phan,279823,0,https://open.spotify.com/track/2iGidPErVXwRFWK0JWmL4o
Chuc Em Ben Nguoi,2018-04-18,album,Tua Vao Vai Anh,Khánh Phương,289070,21,https://open.spotify.com/track/1HJ5HOHlin1VzvJquUQAwk
Giáng Trần,2018-07-23,album,Giáng Trần (Trọn Đời Bên Em 9),Lý Hải,251742,10,https://open.spotify.com/track/1pFdYF8b3AwGRJwXBucNiQ
Chân Tình,2018-03-01,compilation,Làn Sóng Xanh 2001 Vol1,Vân Trường,273136,0,https://open.spotify.com/track/000YNlLxR5FnsmNxlaqjdR
Phố Xa,2018-06-08,compilation,Top VN 98 Vol 2,Tam Ca Áo Trắng,237139,0,https://open.spotify.com/track/4dahwyVNNW2oQtylXsFh3m
Có Quên Được Đâu,2018-09-06,album,Có Quên Được Đâu,Thanh Thảo,253596,0,https://open.spotify.com/track/3CXpxc64efCmpHJnAsr27X
Xa Rồi Tuổi Thơ,2018-08-01,album,Xa Rồi Tuổi Thơ,Tam Ca Áo Trắng,263366,2,https://open.spotify.com/track/6yF1lj9raaC6JgYVptlsDb
Khi Người Đàn Ông Khóc,2018-06-08,album,Liveshow Lý Hải,Lý Hải,293447,0,https://open.spotify.com/track/0SEOeyPzTU1jQAiXB1jqLi
Tình đơn phương,1999-06-25,album,Mãi cho tình lênh đênh,Lam Truong,253746,0,https://open.spotify.com/track/3UXb2beRdFp7rDbnxtkqn4
Luc Moi Yeu,2008-01-01,album,Luc moi yeu,Phương Vy,217106,12,https://open.spotify.com/track/7m2fEUWuVZ9bcTXNjddGHc
Xe Đạp,2017-05-31,compilation,The Best Of Thùy Chi 3,Thùy Chi,284238,0,https://open.spotify.com/track/462WpZ67nBcpboTjHGgNMK
Mặt Trời Bé Con,2018-03-01,compilation,Chào 99,Bằng Kiều,265795,0,https://open.spotify.com/track/2T7grc4atozoKVcsuROzg0
Hồn Quê,2010-06-24,album,Tằm Tháng Năm,Hien Thuc,295941,0,https://open.spotify.com/track/4rpMj3RTzkFaVkJeZrL6wk
Vì Yêu,2017-08-23,album,Vì Đó Là Em,Quang Dũng,230194,0,https://open.spotify.com/track/1MOOJpkVf0Mlu5rdUQUzcL
Còn Tuổi Nào Cho Em,2010-12-23,album,Portrait 17,Hien Thuc,304979,0,https://open.spotify.com/track/7BxOycTnjS0pjYkaqj36Dh
Trong Đôi Mắt Em,2018-06-08,compilation,Hôn Môi Xa,Nguyên Vũ,240770,0,https://open.spotify.com/track/1ubDnTenAGYKpBZDoRTSBc
Tình Xưa Nghĩa Cũ,2017-08-23,album,Tình Đời,Jimmi Nguyen,207882,0,https://open.spotify.com/track/1EeNaFhb3QIWjExFs2GMDh
Cây Đàn Sinh Viên,2015-01-01,compilation,Tổ khúc - Nhạc Trẻ Sài Gòn,Mỹ Tâm,283493,15,https://open.spotify.com/track/1BiZUsJuXcm00fsY8TNl7W
Tiễn bạn lên đường,1997-12-17,album,Tình thôi xót xa,Lam Truong,395640,0,https://open.spotify.com/track/2gMxK9LFJWXewzkHX2jAXi
Kiếp Ve Sầu,0000,album,Album Nhạc Tuyển Vol1,Đan Trường,243853,0,https://open.spotify.com/track/5CNHksxHh3SQWDp5aWMwEt
Mưa Phi Trường,1999-11-07,album,Tuyển tập những ca khúc hay nhất,Lam Truong,334480,0,https://open.spotify.com/track/1uCZMR645f394vIr9iiDHX
Một Thời Đã Xa,2019-11-21,album,Một Thời Đã Xa,Phương Thanh,388176,0,https://open.spotify.com/track/65bSkED5vDGMKwLL5HXt4U
Tóc Em Đuôi Gà,2018-06-08,compilation,Top VN 98 Vol 2,Quang Linh,279379,0,https://open.spotify.com/track/12CyULJZZSOEHezCbcvjaD
Ta Trở Về,2017-10-23,album,Mười Nghìn Ngọn Nến,Jimmi Nguyen,243330,0,https://open.spotify.com/track/0rtFUeYiJLDs8KqZclryKT
Vi Do La Em,2006,album,Yeu,Quang Dũng,348212,18,https://open.spotify.com/track/3fgjPVOllpoFKzhdBpBwR9
Mưa Trên Cuộc Tình 1,0000,album,Album Nhạc Tuyển Vol1,Đan Trường,254511,0,https://open.spotify.com/track/6QPlJdPn5AwZcdAyHb2734
Về Đâu Mái Tóc Người Thương,2015-10-01,album,Tuyển Tập Những Ca Khúc Trữ Tình Của Hoài Lâm,Hoài Lâm,263366,0,https://open.spotify.com/track/3VSHKRxlsVYAt497j7K8in
Qua Con Me,1992-06-16,album,Mot Mai Gia Tu Vu Khi,Duy Khánh,304221,0,https://open.spotify.com/track/2S5bgjLeEbCvuQBCfRUbio
Gọi Tên Em Trong Đêm,2017-07-19,album,Tuyển Tập Nhạc Hay Nhất The Men,The Men,254302,0,https://open.spotify.com/track/2zekuioozj47lyWmPJhqxw
Nhật Ký Của Mẹ,2015-01-10,compilation,"Gia Đình Nhỏ, Hạnh Phúc To (My Family)",Hien Thuc,494968,0,https://open.spotify.com/track/1Ccizo5yoMnUU41Rpm9NhW
Tình Thơ,2018-03-01,compilation,Làn Sóng Xanh 2001 Vol1,Minh Thuận,228649,0,https://open.spotify.com/track/0hMmTlXnx7do7UHiNguhRc
Tình Yêu Diệu Kỳ,2018-03-01,compilation,Cầu Vồng Tình Yêu,Quang Vinh,199511,0,https://open.spotify.com/track/0t1j3gywJzi1bepozgyQGu
Noi Nho Noi Con Tim Mo Coi,2002-01-01,single,Tha Rang Nhu The... Toi Di Tim Toi,Ưng Hoàng Phúc,326675,0,https://open.spotify.com/track/3sZrqUui3TGkZt1razHATO
Miền Cát Trắng,2018-03-01,album,Miền Cát Trắng,Quang Vinh,340427,0,https://open.spotify.com/track/7LfbxFwRJSoQBVLqc4CSp2
Chừng Nào Em Mới Về,2016-05-23,album,Lời Sám Hối,Duy Mạnh,244088,0,https://open.spotify.com/track/5KXtjSD6i3ign8umxYslgt
Taxi,2019-10-16,album,Collection of The Best Songs of Thu Minh,Thu Minh,248293,0,https://open.spotify.com/track/1IN3FqSlSUdkbEG9lSUMxt
Anh Tin Mình Đã Cho Nhau Kỷ Niệm,2018-03-01,album,Con Đường Tôi Đi,Thu Thủy,210520,0,https://open.spotify.com/track/6HNN9mnqztHskFEjNW21Ap
Tình Đơn Phương,2019-11-21,album,Tình Đơn Phương,Đan Trường,258983,0,https://open.spotify.com/track/1aGIA1BBd1fsBpMmFaRjqI
Từng Yêu,2019-11-28,single,Từng Yêu,Đan Trường,308845,0,https://open.spotify.com/track/2I3B9Xj1U4CANJPqNpL1Ik
Hát Cho Người Ở Lại,2018-03-01,album,"Dau Chi Rieng Em, Vol.2",Mỹ Tâm,328853,0,https://open.spotify.com/track/3PMmE2rV6gxVvOE6rbCkvd
Hôn Môi Xa,2015-01-01,compilation,Tổ khúc - Nhạc Trẻ Sài Gòn,Đan Trường,334249,1,https://open.spotify.com/track/7JeilNclk7Ot9kzadH01o2
Đâu Chỉ Riêng Em,2017-12-06,album,Tâm 9,Mỹ Tâm,234120,40,https://open.spotify.com/track/5YW0J0Rg3VpeHP6rn1iVDv
Moi Nguoi Mot Noi,2015,album,Anh Van Mo,Huy Quang,212506,0,https://open.spotify.com/track/4Nfffkh0wfa9FZgZWWV61b
Người Hãy Quên Em Đi,2017-12-06,album,Tâm 9,Mỹ Tâm,232481,43,https://open.spotify.com/track/1rJyVbXb3njXbN3lokllKf
Chợt Thấy Em Khóc,2019-02-27,compilation,Noo Phước Thịnh Tuyển Tập (Vol.5),Noo Phước Thịnh,312813,19,https://open.spotify.com/track/5flj74Eay1z7XXxIiUNK6w
Con Bướm Xuân,2018-03-01,album,Tuyển Tập Bài Hát Hit Của Hồ Quang Hiếu,Hồ Quang Hiếu,224954,0,https://open.spotify.com/track/23xZqhS33Ubb2y0EnKt3PN
Ta Đâu Có Say,2018-03-01,album,Tình Em Là Đại Dương,Duy Mạnh,287007,0,https://open.spotify.com/track/1ZuHiGXpuJn2GqhTaPyJ9Z
Vì Sao,2011-11-10,album,2011 Hit Songs,"Khởi My, Hoang Rapper",257149,30,https://open.spotify.com/track/5lZjSsqLpHGk2V5tCug3NN
Không Được Khóc,2015-06-16,album,Trang Giấy Trắng,PHẠM TRƯỞNG,268120,0,https://open.spotify.com/track/2bDPfew1vp90AUECEeqxzo
Đã Không Yêu Thì Thôi,2017-11-20,single,Đã Không Yêu Thì Thôi,Dương Bảo Ly,256148,0,https://open.spotify.com/track/7mBeFQWXQU46g9FgJK4mpq
Trái Tim Em Cũng Biết Đau (Minishow Bảo Anh),2017-06-21,album,Yêu Một Người Vô Tâm,Bảo Anh,300721,0,https://open.spotify.com/track/3LRwFl57JfXkYTtMQb3UpV
Ngỡ,2018-03-01,album,Những Bản Hits Do Khắc Việt Trình Bày,Khắc Việt,243053,0,https://open.spotify.com/track/6c7iBybTSvAgPmxW3pN1qm
Thần Thoại,2018-11-07,album,Tuyển Tập Của Nhật Kim Anh,"Nhật Kim Anh, Bằng Cường",296907,9,https://open.spotify.com/track/591VxLajCi8T2FfPS1sHww
999 Đóa hồng,1999-02-01,compilation,The Best Of Chinese Melodies,Lâm Nhật Tiến,252800,23,https://open.spotify.com/track/5vPevhbesKODnE8jYaYcpJ
Ngày Gặp Lại,2018-03-01,album,Những Bài Hát Hay Nhất Của Cao Thái Sơn,Cao Thái Sơn,304457,0,https://open.spotify.com/track/0DIcN5tQCqRaxjjupth7oX
Tình Yêu Mang Theo,2018-05-04,album,Thao Thức Vì Em,Nhat Tinh Anh,246099,0,https://open.spotify.com/track/0qaQAFMIdRB0FwsEuk3AOj
Em Luôn Ở Trong Tâm Trí Anh,2015-08-21,album,The Men Top Hits,The Men,266328,0,https://open.spotify.com/track/4VswkHyO6A2gnoaafCttxE
Như Giấc Chiêm Bao,2017-07-19,album,Ngàn Năm Thương Nhớ,"Tuấn Hưng, Lệ Quyên",285424,22,https://open.spotify.com/track/5zm39iirQz42H97A6iJ2Jt
Đồng Xanh (Remix),2018-04-20,album,Du Xuân,Vy Oanh,242076,20,https://open.spotify.com/track/1GpG2gUt8Sf16W2VaYAOiN
Giật Mình Trong Đêm,2015-10-01,album,Tình Yêu Phôi Pha,Tuấn Hưng,291526,15,https://open.spotify.com/track/7G5ozBhdJWCsXblJ6nOzB4
Tình Xót Xa Thôi,2002-01-16,album,"Đâu Chỉ Riêng Em, Vol. 2",Mỹ Tâm,260173,17,https://open.spotify.com/track/5WPEUpz9gLN4BUXLHPdJ6K
Ảo Mộng Tình Yêu,2019-11-21,album,Đi Về Nơi Xa,"Đan Trường, Cẩm Ly",356205,23,https://open.spotify.com/track/365IjIwE6Ghv6TnnysoUIp
Chiec Khan Gio Am,2018-04-18,album,Khong Phai Jay Chou,Khánh Phương,270396,33,https://open.spotify.com/track/0UteIV1FFEZ2OS4ZpWaVc2
Tình Lỡ Cách Xa,2015-01-01,single,Ban Mai Tình Yêu (single),Mỹ Tâm,246608,28,https://open.spotify.com/track/0yj0FISanglxbIZaV94T8a
Hãy Để Anh Yêu Em Lần Nữa,2015-08-21,album,The Men Top Hits,The Men,233135,0,https://open.spotify.com/track/728mHz8RRvMyHV3UuyZsli
Vị Ngọt Đôi Môi,2010-01-01,album,Xin Lỗi Anh,"Minh Tuyết, The Son",289576,0,https://open.spotify.com/track/1hvDFYbQB73XNnFSPVCDXA
Nhỏ Ơi,2018-03-01,album,Tổng Hợp Bài Hát Của Lương Gia Huy,Lương Gia Huy,267572,0,https://open.spotify.com/track/7f0uYVDeGNNrhbe5V1MrLS
Hiện Tại Và Quá Khứ,2017-07-19,album,Tuyển Tập Nhạc Hay Nhất The Men,The Men,234657,0,https://open.spotify.com/track/3AMWuy4hrL3qbIO4ddIjvL
Tạm Biệt Nhé,2019-09-06,album,Tổng Hợp Bài Hát Của Lynk Lee,"Lynk Lee, Phúc Bằng",287752,0,https://open.spotify.com/track/0sP7L2JuA1xML8Le7FNWeA
Như Một Giấc Mơ,2013-12-02,album,"Tam, Vol 8",Mỹ Tâm,250943,0,https://open.spotify.com/track/6L5HyV27NRGG9s3iQrcbHB
Cô Ấy Là Ai,2017-12-06,album,Tâm 9,Mỹ Tâm,229826,0,https://open.spotify.com/track/0a3xKTdoRhkWC5zSWZ7nYf
Lãng quên chiều thu,2015-10-18,album,Đi qua bốn mùa,Lam Truong,295186,0,https://open.spotify.com/track/5SiKUsqluUI9O3LL9tHStk
Đừng Làm Anh Đau,0000,single,Đừng Làm Anh Đau (original),Minh Vương M4U,283169,0,https://open.spotify.com/track/6uZMgxsYojCcix5nk4RKLM
Anh Thích Em Như Xưa,2018-04-26,album,Anh Không May Mắn,Châu Khải Phong,302680,0,https://open.spotify.com/track/2tuvWqe6Zl7ArP5plvPvWW
Chuyen Nhu Chua Bat Dau,2013-12-02,single,Chuyen Nhu Chua Bat Dau,Mỹ Tâm,269226,0,https://open.spotify.com/track/2nryca6YEKqd1nVEnp7r6a
Loi Xin Loi Co That Su Kho Noi,2018-11-19,album,Mot Lan Nua Xin Co Nhau,Minh Tuyết,252000,0,https://open.spotify.com/track/5gXwUFg2XkqW0Ff7sFSLl7
Hè muộn,2015-10-18,album,Đi qua bốn mùa,Lam Truong,249506,0,https://open.spotify.com/track/52tgJlVJcv89yD7dBmUZGL
Thương Hại,2017-07-19,album,Tuyển Tập Nhạc Hay Nhất Khởi My,Khởi My,340244,0,https://open.spotify.com/track/3uHzfhSDLlKcX9wA6wuuPH
Gửi Người Yêu Cũ,2017-02-10,single,Gửi Người Yêu Cũ,Hồ Ngọc Hà,282541,14,https://open.spotify.com/track/5xqanki714S5lfCrhBnfGX
Dáng Em,2018-08-17,album,Dáng Em,Nguyễn Phi Hùng,274599,26,https://open.spotify.com/track/6YJyTAuJ8JWix3I1daadgK
Giới Hạn Nào Cho Chúng Ta,2021-09-23,album,Lạc Mất Em,Đàm Vĩnh Hưng,275600,0,https://open.spotify.com/track/6PSK8VuoZVWxo7Pa4dMn5N
Vì Một Người Ra Đi,2015,single,Vì Một Người Ra Đi,Ưng Hoàng Phúc,266040,38,https://open.spotify.com/track/0qITNZFCnHmA83UoQpNd1z
Hãy Trả Lời Em,2018-08-10,compilation,"Làn Sóng Xanh 2005, Pt. 2",Lệ Quyên,338442,10,https://open.spotify.com/track/3RSZ5c9SiA1abGbGbObUK4
Anh Muốn Em Sống Sao,2014-01-01,album,Anh Muốn Em Sống Sao,Minh Tuyết,273066,0,https://open.spotify.com/track/1sb6b6i3z9WoF1VQuvH3in
Tôi Đi Tìm Tôi,2005,single,Tôi Đi Tìm Tôi,Ưng Hoàng Phúc,341088,21,https://open.spotify.com/track/34S7H1ypPL3Fil1M0LuN2J
Mưa,2018-10-19,compilation,Minh Vương M4U Tuyển Tập (Vol.2),"Minh Vương M4U, Thùy Chi",277845,28,https://open.spotify.com/track/12KA0kbnxGvgeasCSsZmnj
Muộn Màng Là Từ Lúc,2017-12-06,album,Tâm 9,Mỹ Tâm,235093,0,https://open.spotify.com/track/249fiLJ8fFXYLL4NNjjgXT
