name,release_date,album_type,album_name,artists,duration_ms,popularity,spotify_url
Thương Em Là Điều Anh Không Thể Ngờ,2018-12-18,single,Thương Em Là Điều Anh Không Thể Ngờ,Noo Phước Thịnh,308458,46,https://open.spotify.com/track/2gT5LL3uRANxvvmDxaULbQ
Chưa Bao Giờ,2018-03-01,single,Chưa Bao Giờ,Trung Quân,273960,0,https://open.spotify.com/track/423psT9xFX4cIJtbsNzf7W
Dấu Mưa,2018-03-01,single,Dấu Mưa,Trung Quân,260094,0,https://open.spotify.com/track/3Lpk4lQN6nziIwI7pY8NO2
Thả Vào Mưa,2018-03-01,single,Thả Vào Mưa,Trung Quân,342875,0,https://open.spotify.com/track/6yRhrIxPIpCsdc2hL5q2OG
Cánh Đồng Yêu Thương,2018-03-01,single,Cánh Đồng Yêu Thương,Trung Quân,306440,0,https://open.spotify.com/track/7aSGnEnPVodoO8AtKSuzZl
Mùa Hè Phía Chân Trời (Nhạc Phim Tháng 5 Để Dành),2019-05-16,single,Mùa Hè Phía Chân Trời (Nhạc Phim Tháng 5 Để Dành),Trung Quân,211666,0,https://open.spotify.com/track/7995kB8y1bhLkmWbnGfVOe
Chiều Nay Không Có Mưa Bay,2018-03-01,compilation,Những Bài Hát Hay Nhất Của Trung Quân Idol,Trung Quân,296556,0,https://open.spotify.com/track/5CLVwtxgHf7Sq4whKzkyXj
Trái Đất Tròn Không Gì Là Không Thể,2018-03-01,single,Trái Đất Tròn Không Gì Là Không Thể,Trung Quân,253504,0,https://open.spotify.com/track/5R0BmQw3qvUhZLfPDLf10w
Một Giấc Mơ (feat. Kimmese),2020-06-19,single,Một Giấc Mơ (feat. Kimmese),"Vũ., Kimmese",227486,36,https://open.spotify.com/track/1CIR7UAbM5j9hcThZS8Dkz
ĐÃ TỪNG LÀ,2020-05-01,single,ĐÃ TỪNG LÀ,Vũ.,260507,29,https://open.spotify.com/track/43OkLcIBJxhuIvyxY6Fqiu
Her Summer,2019-07-18,single,Her Summer,Vũ.,224589,38,https://open.spotify.com/track/4XkeDeEoSxS7V1B4cjDshU
Lạ Lùng,2018-03-28,single,Lạ Lùng,Vũ.,261590,0,https://open.spotify.com/track/1ayp8veQBb6NRZepn7ENm6
Đông Kiếm Em,2015-03-28,single,Đông Kiếm Em,Vũ.,246043,48,https://open.spotify.com/track/0B1ZnYwYefkNhZeE8ZQpv5
Cô Gái M52,2018-06-01,single,Cô Gái M52,HuyR,213333,0,https://open.spotify.com/track/0AXYXHoam4tHLAcRkEescf
They Said,2018-05-25,single,They Said,"Binz, Touliver",234418,22,https://open.spotify.com/track/4a5wfF0SGh3XnDSvihVw79
Hai Triệu Năm,2019-06-22,single,Hai Triệu Năm,"Đen, Biên",216471,0,https://open.spotify.com/track/2qnnREp8mFVipaEoUlw9ya
Anh Đếch Cần Gì Nhiều Ngoài Em,2018-11-15,single,Anh Đếch Cần Gì Nhiều Ngoài Em,"Đen, Thành Đồng, Vũ.",217133,0,https://open.spotify.com/track/7GxSshyjKx46dlIV2UoVrc
Mười Năm (Lộn Xộn 3),2019-02-01,single,Mười Năm (Lộn Xộn 3),"Đen, Ngọc Linh",257560,0,https://open.spotify.com/track/1LXX0v5Nk5YR6gip7WL7g1
Đi Theo Bóng Mặt Trời,2017-05-13,single,Đi Theo Bóng Mặt Trời,"Đen, Giang Nguyễn",162102,0,https://open.spotify.com/track/0g1lSO4QxUCoxpVp0xvDmD
Ngày Khác Lạ,2018-02-23,single,Ngày Khác Lạ,"Đen, Giang Pham, Triple D",212173,0,https://open.spotify.com/track/5HK1vERAqCVgCWyRQBClAv
Làm Gì Phải Hốt,2020-01-05,single,Làm Gì Phải Hốt,"JustaTee, Hoàng Thùy Linh, Đen",189296,0,https://open.spotify.com/track/2FWBdovgRvBSzA1JESUe0D
Cho Tôi Lang Thang,2017-03-08,single,Cho Tôi Lang Thang,Ngọt,258784,0,https://open.spotify.com/track/7gxlKu5NBdbOHD5aHBAouf
Em Dạo Này,2017-09-23,album,Ng'bthg,Ngọt,201828,0,https://open.spotify.com/track/6OSWTtSplw9SWv33aDmKWB
LẦN CUỐI (đi bên em xót xa người ơi),2019-10-06,album,3 (tuyển tập nhạc Ngọt mới trẻ sôi động 2019),Ngọt,222846,0,https://open.spotify.com/track/7AzGrpsT9kTI6OUdMXlHWe
CHUYỂN KÊNH (sản phẩm này không phải là thuốc),2019-10-06,album,3 (tuyển tập nhạc Ngọt mới trẻ sôi động 2019),Ngọt,273806,0,https://open.spotify.com/track/7ho5xWwyYi7KJzJxyM1sPJ
Bài Ka Tuổi Trẻ,2016-05-19,single,Bài Ka Tuổi Trẻ,"JGKiD (Da LAB), Emcee L (Da LAB), KraziNoyze, Vu Bui Thu Thuy, Linh Cáo, Mel G",229681,0,https://open.spotify.com/track/5Sh5CK6GReVbZJqUOnvg0f
Đi Để Trở Về,2017-01-17,single,Đi Để Trở Về,SOOBIN,202084,54,https://open.spotify.com/track/2qc4FFBylFT5YhvMJMX50R
Sáng Mắt Chưa,2019-08-06,single,Sáng Mắt Chưa,Trúc Nhân,208122,0,https://open.spotify.com/track/5spB6Z40wYgt7hzPhnZVbi
Đâu Cần Một Bài Ca Tình Yêu,2019-04-20,single,Đâu Cần Một Bài Ca Tình Yêu,"Tiên Tiên, TRANG",195514,0,https://open.spotify.com/track/6PLNoijWdc3dWqc1KKjv73
Thương Nhiều Hơn Nói,2018-03-01,single,Thương Nhiều Hơn Nói,Masew,178353,0,https://open.spotify.com/track/6LzTNjxQ67qJ2AxoQJvvVg
Quan Trong La Than Thai - Original,2018-05-08,single,Quan Trong La Than Thai (Original),OnlyC Karik,240000,17,https://open.spotify.com/track/5TS51iQud7BUVEwoKqMvVz
Gene,2019-05-15,single,Gene,"Binz, Touliver",228000,0,https://open.spotify.com/track/1yNHcXf3122hM5UJ0UWz4V
So Close,2019-08-23,single,So Close,"Binz, Phương Ly",199578,0,https://open.spotify.com/track/1C7aNWtuAK07clP7lOQnno
No Boyfriend - Original,2018-07-09,single,No Boyfriend (Original),Hoàng Yến Chibi,218400,26,https://open.spotify.com/track/2IggMTlkERCVSYu2OIiG49
Đường Một Chiều,2018-03-01,single,Đường Một Chiều,Huỳnh Tú,286998,0,https://open.spotify.com/track/52oyR8Wjhdzg7zucr8keYl
Có Chàng Trai Viết Lên Cây,2019-12-20,compilation,Mắt Biếc (Original Motion Picture Soundtrack),Phan Mạnh Quỳnh,305786,0,https://open.spotify.com/track/1U8bwOTAtnqlWMCn1mwYyj
1 Phút,2018-03-01,single,1 Phút,Andiez,375989,0,https://open.spotify.com/track/7JVxQjXcMlIwHuwrq7AY8E
Em Khong The,2018-10-27,single,Em Khong The,"Tiên Tiên, Touliver",250773,0,https://open.spotify.com/track/6UgaKUJSO0Xp47x6pL1LaA
Khi Cô Đơn Em Nhớ Ai,2019-02-15,single,Khi Cô Đơn Em Nhớ Ai,"JUUN D, Rtee",261667,30,https://open.spotify.com/track/6uZya2oCjigBaM7uRhuGZ6
Say Goodbye,2019-09-04,single,Say Goodbye,SOOBIN,246857,38,https://open.spotify.com/track/6d2SdcllPos7HflN5rXk76
Yêu Như Ngày Yêu Cuối,2017-01-01,compilation,Thy,Mai Tiến Dũng,296132,0,https://open.spotify.com/track/5fRRhPduSMGfKxrhlLOa8l
Người Hãy Quên Em Đi,2017-12-06,album,Tâm 9,Mỹ Tâm,232481,43,https://open.spotify.com/track/1rJyVbXb3njXbN3lokllKf
Anh Đợi Em Được Không,2019-09-24,single,Anh Đợi Em Được Không,Mỹ Tâm,276790,32,https://open.spotify.com/track/2P9M7q49JXnwiab4TosOpW
Đâu Chỉ Riêng Em,2017-12-06,album,Tâm 9,Mỹ Tâm,234120,40,https://open.spotify.com/track/5YW0J0Rg3VpeHP6rn1iVDv
I'm Still Loving You,2019-11-13,single,I'm Still Loving You,Noo Phước Thịnh,200000,30,https://open.spotify.com/track/7vJyCz6Q8AE13xfPo6iQAz
Anh Thanh Niên,2018-03-01,single,Anh Thanh Niên,HuyR,231437,0,https://open.spotify.com/track/3ksHvU75aLBENx2ZmO49Jx
Mượn Rượu Tỏ Tình,2019-02-18,single,Mượn Rượu Tỏ Tình,"BigDaddy, Emily",198375,0,https://open.spotify.com/track/3TXSdTpaqKBpWyUG3aJ3LK
Đừng Chờ Anh Nữa,2018-03-01,single,Đừng Chờ Anh Nữa,Tăng Phúc,225132,0,https://open.spotify.com/track/5PxDBYSG5vypzrSsulGgUC
Liệu Giờ,2019-04-20,single,Liệu Giờ,"2T, Văn",258668,0,https://open.spotify.com/track/6uMNe8s4p6DbVwzkbAK2qu
Ai Đưa Em Về,2019-08-22,single,Ai Đưa Em Về,"TIA, Lê Thiện Hiếu",233249,0,https://open.spotify.com/track/4iDyFW4a7iCJh2VqSpwGQz
Anh Nhà Ở Đâu Thế?,2019-07-31,single,Dreamee,"AMEE, B Ray",217142,0,https://open.spotify.com/track/0FuHntDC6PBMCUvIwpPvFc
Đen Đá Không Đường,2019-07-31,single,Dreamee,AMEE,181714,0,https://open.spotify.com/track/3YYZiqz0IqEm9FnbOfPwxj
Trời Giấu Trời Mang Đi,2019-10-17,single,Trời Giấu Trời Mang Đi,"AMEE, Viruss",258260,0,https://open.spotify.com/track/5bci9SuYMCNB2BkSEmrCaB
Anh Đánh Rơi Người Yêu Này! - Thật Tuyệt Vời Khi Ở Bên Em Ost,2019-07-30,single,Anh Đánh Rơi Người Yêu Này! (Thật Tuyệt Vời Khi Ở Bên Em Ost),"Andiez, AMEE",207529,0,https://open.spotify.com/track/72UqrAgisRK4yMbsruvCoW
Đừng Nói Tôi Điên,2019-12-07,single,Đừng Nói Tôi Điên,Hiền Hồ,267440,0,https://open.spotify.com/track/0GC72Xb0CX1ZJRF3lQX0yb
Em Ngày Xưa Khác Rồi,2019-11-27,single,Em Ngày Xưa Khác Rồi,Hiền Hồ,287872,0,https://open.spotify.com/track/3TNS32Mmols8efnyed3SgD
Rồi Người Thương Cũng Hóa Người Dưng,2019-11-27,single,Rồi Người Thương Cũng Hóa Người Dưng,Hiền Hồ,277589,0,https://open.spotify.com/track/6foM17AKOK0NMOXIpuZtAm
Anh Oi O Lai,2019-05-31,single,Anh Oi O Lai,"Chi Pu, Đạt G",292379,0,https://open.spotify.com/track/6HaChQZma1WN7Wx6ImCS7N
Nếu Ngày Ấy,2019-07-16,single,Nếu Ngày Ấy,SOOBIN,292693,0,https://open.spotify.com/track/4EYcEzkkpJDRVO1TxrzH3r
Em Lỡ Thôi À,2019-08-31,single,Em Lỡ Thôi À,Dương Triệu Vũ,331276,0,https://open.spotify.com/track/5EtmRfmtU7VXdM0kNXAzZ8
Thái Bình Mồ Hôi Rơi,2013,album,m-tp M-TP,Sơn Tùng M-TP,318093,0,https://open.spotify.com/track/77WB1SRD0tGgkKQFIWCISJ
Ấn Nút Nhớ... Thả Giấc Mơ,2013,album,m-tp M-TP,Sơn Tùng M-TP,244539,0,https://open.spotify.com/track/0zNyJEcrEbYvwA0s1msBPF
Tiến Lên Việt Nam Ơi,2013,album,m-tp M-TP,Sơn Tùng M-TP,218627,0,https://open.spotify.com/track/7i5YAG2YaXwKSujxx9hx87
Remember Me - SlimV remix,2013,album,m-tp M-TP,"Sơn Tùng M-TP, Slim-V",203493,0,https://open.spotify.com/track/3Gunzjkn4oou0dZkk4l6aD
Như Ngày Hôm Qua,2013,album,m-tp M-TP,Sơn Tùng M-TP,222981,0,https://open.spotify.com/track/6BToHhGtbW8eMQFaEv0i2d
Buông Đôi Tay Nhau Ra,2013,album,m-tp M-TP,Sơn Tùng M-TP,227492,0,https://open.spotify.com/track/0YRtuiIMa3FM3LywGlJIii
Lạc Trôi,2013,album,m-tp M-TP,Sơn Tùng M-TP,232888,0,https://open.spotify.com/track/4pWF7uyalOeveT6oansXmy
Chắc Ai Đó Sẽ Về,2013,album,m-tp M-TP,Sơn Tùng M-TP,262164,0,https://open.spotify.com/track/2g9jxHI2KqSS1MRwS7e95x
